ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg
RB2605.SHF,20250630,3009,3001,3012,3040,3010,3020,3026,19,25,5412,16380.95,22819,470
RB2605.SHF,20250627,2978,2973,2982,3012,2978,3009,3001,36,28,5360,16089.467,22349,-30
RB2605.SHF,20250626,2978,2970,2973,2980,2964,2978,2973,8,3,2458,7309.43,22379,280
RB2605.SHF,20250625,2975,2988,2973,2980,2960,2978,2970,-10,-18,3966,11779.49,22099,272
RB2605.SHF,20250624,2992,2988,2989,3005,2969,2975,2988,-13,0,4180,12490.3,21827,479
RB2605.SHF,20250623,2987,2985,2989,3000,2978,2992,2988,7,3,3228,9645.37,21348,899
RB2605.SHF,20250620,2979,2979,2981,3004,2975,2987,2985,8,6,4772,14246.56,20449,1058
RB2605.SHF,20250619,2980,2975,2981,2992,2970,2979,2979,4,4,3164,9426.94,19391,-311
RB2605.SHF,20250618,2974,2979,2973,2990,2967,2980,2975,1,-4,3162,9409.46,19702,455
RB2605.SHF,20250617,2989,2977,2988,2994,2970,2974,2979,-3,2,2408,7175.69,19247,245
RB2605.SHF,20250616,2976,2967,2973,2991,2958,2989,2977,22,10,4312,12838.92,19002,1548
RB2605.SHF,20250613,2967,2976,2967,2988,2943,2976,2967,0,-9,5152,15290.03,17454,627
RB2605.SHF,20250612,2989,2986,2991,2994,2965,2967,2976,-19,-10,1476,4393.61,16827,276
RB2605.SHF,20250611,2973,2972,2973,3005,2973,2989,2986,17,14,2299,6865.68,16551,151
RB2605.SHF,20250610,2980,2974,2980,2984,2961,2973,2972,-1,-2,3652,10855.66,16400,223
RB2605.SHF,20250609,2975,2979,2985,2990,2959,2980,2974,1,-5,2878,8560.75,16177,794
RB2605.SHF,20250606,2952,2954,2953,3000,2953,2975,2979,21,25,3652,10880.15,15383,812
RB2605.SHF,20250605,2966,2941,2969,2972,2932,2952,2954,11,13,4265,12600.62,14571,1042
RB2605.SHF,20250604,2910,2915,2913,2972,2910,2966,2941,51,26,7099,20884.48,13529,2294
RB2605.SHF,20250603,2973,2981,2962,2962,2900,2910,2915,-71,-66,8152,23767.35,11235,3888
RB2605.SHF,20250530,3003,3000,3009,3009,2965,2973,2981,-27,-19,5247,15642.65,7347,2125
RB2605.SHF,20250529,2996,2999,2998,3013,2985,3003,3000,4,1,3332,9997.07,5222,1308
RB2605.SHF,20250528,3013,3019,3005,3014,2986,2996,2999,-23,-20,2021,6062.37,3914,827
RB2605.SHF,20250527,3031,3043,3038,3048,3004,3013,3019,-30,-24,2099,6337.75,3087,722
RB2605.SHF,20250526,3078,3085,3067,3079,3021,3031,3043,-54,-42,1552,4723.74,2365,715
RB2605.SHF,20250523,3097,3098,3097,3100,3075,3078,3085,-20,-13,1109,3421.99,1650,314
RB2605.SHF,20250522,3101,3103,3103,3113,3081,3097,3098,-6,-5,843,2612.23,1336,307
RB2605.SHF,20250521,3095,3104,3099,3124,3097,3101,3103,-3,-1,514,1594.97,1029,216
RB2605.SHF,20250520,3115,3120,3104,3117,3090,3095,3104,-25,-16,444,1378.34,813,269
RB2605.SHF,20250519,3126,3147,3130,3145,3108,3115,3120,-32,-27,337,1051.62,544,174
RB2605.SHF,20250516,,3167,3134,3179,3126,3126,3147,-41,-20,620,1951.59,370,
